show_id,title,type,release_year,year_added,primary_country,genre
s1,Dick Johnson Is Dead,Movie,2020,2021.0,United States,Documentaries
s2,Blood & Water,TV Show,2021,2021.0,South Africa,International TV Shows
s2,Blood & Water,TV Show,2021,2021.0,South Africa,TV Dramas
s2,Blood & Water,TV Show,2021,2021.0,South Africa,TV Mysteries
s3,Ganglands,TV Show,2021,2021.0,Unknown,Crime TV Shows
s3,Ganglands,TV Show,2021,2021.0,Unknown,International TV Shows
s3,Ganglands,TV Show,2021,2021.0,Unknown,TV Action & Adventure
s4,Jailbirds New Orleans,TV Show,2021,2021.0,Unknown,Docuseries
s4,Jailbirds New Orleans,TV Show,2021,2021.0,Unknown,Reality TV
s5,Kota Factory,TV Show,2021,2021.0,India,International TV Shows
s5,Kota Factory,TV Show,2021,2021.0,India,Romantic TV Shows
s5,Kota Factory,TV Show,2021,2021.0,India,TV Comedies
s6,Midnight Mass,TV Show,2021,2021.0,Unknown,TV Dramas
s6,Midnight Mass,TV Show,2021,2021.0,Unknown,TV Horror
s6,Midnight Mass,TV Show,2021,2021.0,Unknown,TV Mysteries
s7,My Little Pony: A New Generation,Movie,2021,2021.0,Unknown,Children & Family Movies
s8,Sankofa,Movie,1993,2021.0,United States,Dramas
s8,Sankofa,Movie,1993,2021.0,United States,Independent Movies
s8,Sankofa,Movie,1993,2021.0,United States,International Movies
s9,The Great British Baking Show,TV Show,2021,2021.0,United Kingdom,British TV Shows
s9,The Great British Baking Show,TV Show,2021,2021.0,United Kingdom,Reality TV
s10,The Starling,Movie,2021,2021.0,United States,Comedies
s10,The Starling,Movie,2021,2021.0,United States,Dramas
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,2021.0,Unknown,Crime TV Shows
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,2021.0,Unknown,Docuseries
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,2021.0,Unknown,International TV Shows
s12,Bangkok Breaking,TV Show,2021,2021.0,Unknown,Crime TV Shows
s12,Bangkok Breaking,TV Show,2021,2021.0,Unknown,International TV Shows
s12,Bangkok Breaking,TV Show,2021,2021.0,Unknown,TV Action & Adventure
s13,Je Suis Karl,Movie,2021,2021.0,Germany,Dramas
s13,Je Suis Karl,Movie,2021,2021.0,Germany,International Movies
s14,Confessions of an Invisible Girl,Movie,2021,2021.0,Unknown,Children & Family Movies
s14,Confessions of an Invisible Girl,Movie,2021,2021.0,Unknown,Comedies
s15,Crime Stories: India Detectives,TV Show,2021,2021.0,Unknown,British TV Shows
s15,Crime Stories: India Detectives,TV Show,2021,2021.0,Unknown,Crime TV Shows
s15,Crime Stories: India Detectives,TV Show,2021,2021.0,Unknown,Docuseries
s16,Dear White People,TV Show,2021,2021.0,United States,TV Comedies
s16,Dear White People,TV Show,2021,2021.0,United States,TV Dramas
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,2021.0,Unknown,Documentaries
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,2021.0,Unknown,International Movies
s18,Falsa identidad,TV Show,2020,2021.0,Mexico,Crime TV Shows
s18,Falsa identidad,TV Show,2020,2021.0,Mexico,Spanish-Language TV Shows
s18,Falsa identidad,TV Show,2020,2021.0,Mexico,TV Dramas
s19,Intrusion,Movie,2021,2021.0,Unknown,Thrillers
s20,Jaguar,TV Show,2021,2021.0,Unknown,International TV Shows
s20,Jaguar,TV Show,2021,2021.0,Unknown,Spanish-Language TV Shows
s20,Jaguar,TV Show,2021,2021.0,Unknown,TV Action & Adventure
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,2021.0,Unknown,Crime TV Shows
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,2021.0,Unknown,Docuseries
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,2021.0,Unknown,International TV Shows
s22,Resurrection: Ertugrul,TV Show,2018,2021.0,Turkey,International TV Shows
s22,Resurrection: Ertugrul,TV Show,2018,2021.0,Turkey,TV Action & Adventure
